,USDLTL,USDPHP,USDHKD,USDCHF,USDBGN,USDHRK,USDCNY,USDJPY,USDPLN,USDNZD,USDLVL,USDZAR,USDAUD,USDIDR,USDSEK,USDINR,USDTHB,USDMXN,USDEUR,USDCAD,USDHUF,USDCZK,USDBRL,USDRON,USDILS,USDKRW,USDTRY,USDGBP,USDDKK,USDSGD,USDNOK,USDRUB,USDMYR,time,USDUSD,USDEEK
0,2.6572,40.74,7.7574,0.95121,1.5052,5.8392,6.2185,96.129,3.1916,1.2169,0.53933,9.1573,0.97753,9694.5,6.4076,54.413,29.73,12.6,0.76959,1.0279,233.49,19.657,1.9457,3.3645,3.6887,1097.7,1.8038,0.67212,5.7387,1.2495,5.7246,30.785,3.1102,2013-03-11 00:00:00+00:00,1.0,
1,2.6452,40.6,7.7568,0.94568,1.4984,5.8127,6.2163,95.955,3.1755,1.211,0.53704,9.1343,0.96782,9689.0,6.3726,54.192,29.59,12.496,0.76611,1.026,233.39,19.66,1.955,3.351,3.6774,1095.2,1.8017,0.67134,5.7134,1.2463,5.7041,30.674,3.109,2013-03-12 00:00:00+00:00,1.0,
2,2.6599,40.542,7.7575,0.949,1.5067,5.8443,6.2142,95.979,3.1881,1.2118,0.54017,9.2135,0.96857,9691.1,6.3886,54.306,29.6,12.39,0.77036,1.0249,235.46,19.746,1.9598,3.3811,3.6916,1104.5,1.8111,0.66852,5.7445,1.2481,5.7338,30.753,3.108,2013-03-13 00:00:00+00:00,1.0,
3,2.6689,40.638,7.7584,0.95439,1.5118,5.8627,6.2159,96.46,3.2116,1.2222,0.54209,9.244,0.96583,9703.9,6.4763,54.367,29.65,12.416,0.77298,1.0264,235.99,19.8,1.968,3.3996,3.7008,1111.8,1.8131,0.66917,5.7645,1.2517,5.8221,30.796,3.1109,2013-03-14 00:00:00+00:00,1.0,
4,2.5908,40.708,7.7549,0.92241,1.4675,5.6924,6.2326,93.337,3.1339,1.1792,0.52502,8.8985,0.96638,9659.3,6.3399,53.93,29.81,12.72,0.75036,1.0012,219.49,19.046,1.9674,3.2919,3.6794,1084.9,1.7712,0.64486,5.598,1.2374,5.523,30.143,3.0892,2013-02-14 00:00:00+00:00,1.0,
5,2.5912,40.645,7.7546,0.9233,1.4678,5.6931,6.2322,93.081,3.1449,1.1785,0.52503,8.815,0.96773,9669.8,6.3457,54.3,29.87,12.699,0.75047,1.0026,219.42,19.051,1.9568,3.2934,3.6863,1080.8,1.769,0.6457,5.5977,1.2373,5.5493,30.135,3.094,2013-02-15 00:00:00+00:00,1.0,
6,2.5912,40.645,7.7546,0.9233,1.4678,5.6931,6.2322,93.081,3.1449,1.1785,0.52503,8.815,0.96773,9669.8,6.3457,54.3,29.87,12.699,0.75047,1.0026,219.42,19.051,1.9568,3.2934,3.6863,1080.8,1.769,0.6457,5.5977,1.2373,5.5493,30.135,3.094,2013-02-16 00:00:00+00:00,1.0,
7,2.5912,40.645,7.7546,0.9233,1.4678,5.6931,6.2322,93.081,3.1449,1.1785,0.52503,8.815,0.96773,9669.8,6.3457,54.3,29.87,12.699,0.75047,1.0026,219.42,19.051,1.9568,3.2934,3.6863,1080.8,1.769,0.6457,5.5977,1.2373,5.5493,30.135,3.094,2013-02-17 00:00:00+00:00,1.0,
8,2.586,40.58,7.7546,0.92361,1.4648,5.6818,6.2456,93.799,3.1374,1.1831,0.52389,8.8309,0.96959,9678.7,6.336,54.305,29.89,12.69,0.74895,1.0065,218.67,19.014,1.9682,3.285,3.678,1083.3,1.7666,0.64552,5.5869,1.2387,5.5475,30.13,3.0995,2013-02-18 00:00:00+00:00,1.0,
9,2.5866,40.652,7.7549,0.92381,1.4651,5.6851,6.2444,93.498,3.1223,1.1838,0.52416,8.8928,0.96674,9705.6,6.3288,54.345,29.87,12.674,0.74912,1.0116,217.84,19.053,1.9604,3.2801,3.6843,1080.3,1.7769,0.64657,5.5884,1.2383,5.5562,30.122,3.1044,2013-02-19 00:00:00+00:00,1.0,
